framework	build_time_success	build_time_ms	output_size_mb	total_size	total_gzipped	file_count	js_percentage	compression_ratio	startup_time_ms	hmr_avg_time_ms	fcp	lcp	speed_index	cls	tbt	performance	accessibility	best_practices	seo	memory_delta	peak_cpu	average_cpu	heap_delta	memory	cpu	mem_efficiency	files_count	physical_lines	logical_lines	cyclomatic_complexity	maintainability_index	halstead_volume
alpine	True	0	0	16446	5162	3	93.34	3.19	0	0	1767.59	2036.61	1767.59	0.0001	24	98.2	100	100	90	17.49	119.5	39.83	0	1089.18	0	-0.015	3	444	299	68	83.56	13776.09
angular	True	13816	2.39	222256	67534	2	91.68	3.29	10624	252	1953.78	2478.46	1953.78	0.0001	22.8	96	100	100	90	17.65	89.6	29.87	0	1078.88	0	-0.009	13	888	489	89	604.48	30872.93
jquery	True	1205	2.26	100009	34722	1	99.5	2.88	1608	118	1838.6	2021.2	1838.6	0.1459	0	92	100	99.2	90	18.28	119.4	39.8	0	1080.95	0	-0.012	3	481	287	45	87.4	18604.14
lit	True	761	2.21	60102	15752	1	98.82	3.82	1609	117	1554.65	1821.3	1554.65	0.055	2.4	99	96	100	90	17.49	129.4	43.13	0	1071.83	0	-0.003	8	1310	955	84	246.73	46709.68
lume-js	True	0	0	16495	5574	4	95.37	2.96	0	0	1210.03	1714.95	1210.03	0.0002	0	99.8	100	100	100	17.7	129.5	43.17	0	1064.29	0	-0.006	4	321	234	67	154.88	17543.75
preact	True	759	2.18	27622	10088	1	100	2.74	1023	104	1362.75	1640.92	1362.75	0.0001	0	99.4	100	100	90	16.39	134.5	44.83	0	1061.98	0	-0.008	12	776	461	101	585.8	25344.18
qwik	True	1376	2.25	91158	34628	13	100	2.63	1610	116	1431.73	2123.7	1431.73	0.8075	0	79	96	100	90	16.89	134.5	44.83	0	1078.49	0	-0.007	16	754	414	83	862.46	26425.59
react	True	1315	2.31	158538	50256	1	100	3.15	1023	105	1959.16	2263.74	1959.16	0.0002	0	97	100	100	90	18.84	129.4	43.13	0	1076.41	0	-0.009	13	762	438	90	634.69	24213.69
solid	True	1117	2.18	26458	9243	1	100	2.86	1599	116	1389.52	1544.68	1389.52	0.0001	0	99.4	100	100	90	18.1	119.5	39.83	0	1064.77	0	-0.004	12	786	458	98	581.44	26202.05
svelte	True	3131	2.27	117670	38613	11	68.6	3.05	1024	104	1667.24	2088.74	1667.24	0	0	98.2	100	96	90	16.45	149.5	49.83	0	1059.12	0	-0.007	12	797	405	101	690.76	16137.4
vanilla	True	0	0	20806	5480	3	100	3.8	0	0	1241.68	1547.71	1241.68	0.146	0	94	100	96	90	16.47	64.4	21.47	0	1059.36	0	-0.014	3	560	426	74	71.69	20768.9
vanjs	True	678	2.17	17211	5999	1	96.97	2.87	1023	104	1213.82	1396.33	1213.82	0.0001	0	100	100	100	90	18.03	144.2	48.07	0	1073.41	0	0.001	3	743	388	76	74.17	22895.14
vue	True	1375	2.23	76585	29349	1	100	2.61	1605	118	1631.4	1857.31	1631.4	0.0001	0	99	100	100	90	18.34	119.5	39.83	0	1061.89	0	-0.006	11	677	217	57	686.46	10853.47
